id;director_name;original_title;vote_average;genres;release_date;actor1_name;actor2_name;actor3_name;actor4_name;actor5_name
2394;Jean-Daniel Verhaeghe;Sans famille;7.0;Drama|Family;12/12/2000;Pierre Richard;Jules Sitruk;Stefano Dionisi;Veronica Ferres;Marianne Sägebrecht
2395;Frédéric Forestier;Astérix aux Jeux Olympiques;4.9;Fantasy|Adventure|Comedy|Family;13/01/2008;Clovis Cornillac;Gérard Depardieu;Franck Dubosc;José Garcia;Stéphane Rousseau
2397;Rodney McDonald;Fallout;0.0;Action|Science Fiction;1/01/1998;Daniel Baldwin;Frank Zagarino;Teri Ann Linn;Scott Valentine;John Reilly
2398;Louis Grospierre;Les Anneaux de Bicêtre;10.0;Drama;5/01/1977;Michel Bouquet;Claude Jade;Bernard Dhéran;Dani;Gérard Buhr
2399;René Manzor;Hitchhiker: Windows;0.0;Thriller;1/01/1990;David Marshall Grant;Claude Jade;Annabelle Mouloudji;Jean-Claude Bouillon;none
2400;Jean-Daniel Verhaeghe;Eugénie Grandet;0.0;Drama;1/01/1994;Alexandra London;Jean Carmet;Dominique Labourier;Claude Jade;Pierre Vernier
2401;Kei Kumai;Kita no misaki - Cap du nord;0.0;Drama;3/04/1976;Claude Jade;Gô Katô;Tomoko Ogawa;Kinuyo Tanaka;Wataru Kobayashi
2402;Georges Lautner;Scénarios sur la Drogue;5.0;Drama;21/02/2000;Sylvie Testud;Chiara Mastroianni;Claude Jade;Valeria Bruni Tedeschi;Laurence Côte
2405;Roger Young;Joseph;7.3;Fantasy;16/04/1995;Ben Kingsley;Paul Mercurio;Dominique Sanda;Lesley Ann Warren;Martin Landau
2410;Eriprando Visconti;Una spirale di nebbia;0.0;Drama;1/01/1977;Claude Jade;Marc Porel;Duilio Del Prete;Carole Chauvet;Marina Berti
2411;Gabi Kubach;Rendezvous in Paris;0.0;Drama;11/12/1982;Claude Jade;Harald Kuhlmann;Barry Stokes;Vérénice Rudolph;Gunther Malzacher
2412;Jacques Rampal;Célimène et le cardinal;0.0;Comedy;22/08/2006;Claude Jade;Patrick Préjean;none;none;none
2413;Franco Zeffirelli;Jesus of Nazareth;7.6;Drama|History;27/03/1977;Robert Powell;Anne Bancroft;Ernest Borgnine;Claudia Cardinale;James Farentino
2414;Bernard Toublanc-Michel;Le malin plaisir;0.0;Crime;1/01/1975;Jacques Weber;Anny Duperey;Claude Jade;Mary Marquet;Cécile Vassort
2415;Jean-Paul Carrère;La Passion de Camille et Lucile Desmoulins;0.0;Drama|History;1/01/1978;Bernard Alane;Claude Jade;Jean Martinelli;Françoise Christophe;Gabriel Cattand
2416;Jean-Paul Carrère;Amours sous la révolution: André Chénier et la jeune captive;0.0;History;1/01/1978;Nicolas Silberg;Anny Duperey;Jacques Toja;none;none
2417;Bernard Férié;Une petite fille dans les tournesols;0.0;Drama;5/12/1984;Claude Jade;Bruno Pradal;Bernard Rousselet;Isabelle Cagnat;Eric Cavanhac
2428;George Stevens;The Greatest Story Ever Told;6.6;Drama|History;15/02/1965;Max von Sydow;Michael Anderson Jr.;Carroll Baker;Ina Balin;Victor Buono
2429;Didier Kaminka;Trop c'est trop;0.0;Drama;5/06/1975;Didier Kaminka;Georges Beller;Philippe Ogouz;Claude Jade;Chantal Goya
2430;Jacques Faber;Le choix;0.0;Drama;10/01/1976;Claude Jade;Gilles Kohler;Georges Lambert;Jacques Faber;Maurice Sevenant
2431;Henri Helman;Lise et Laura;0.0;Drama|History;26/03/1982;Claude Jade;Michel Auclair;Bernard Malaterre;Erik Colin;Jeannette Granval
